epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.265,0.0291,1.80529,1.98538,0.13561,0.07225,0.04261,0.01767,0.02864,1.72596,1.96623,0.0901,0.0001,0.0001
2,805.05,0.02913,1.51839,1.98066,0.26865,0.27746,0.16331,0.05909,0.02869,1.3404,1.94337,0.0792079,0.000207921,0.000207921
3,1204.02,0.02757,1.25077,1.90697,0.4054,0.26734,0.23406,0.09938,0.02717,1.18804,1.78482,0.0683137,0.000313664,0.000313664
4,1604.62,0.02661,1.0938,1.79099,0.41704,0.31358,0.27482,0.12317,0.02661,1.09607,1.7109,0.0574172,0.000417229,0.000417229
5,2008.02,0.02566,0.9625,1.71442,0.46082,0.35694,0.31357,0.13685,0.02668,1.00776,1.68301,0.0465186,0.000518616,0.000518616
6,2412.77,0.0255,0.91878,1.64614,0.46923,0.38439,0.33983,0.15243,0.02637,0.95841,1.64793,0.0356178,0.000617825,0.000617825
7,2820.48,0.0244,0.83616,1.58972,0.45452,0.41185,0.34902,0.16181,0.02651,0.92241,1.64067,0.0247149,0.000714856,0.000714856
8,3229.87,0.02444,0.83149,1.59286,0.47356,0.39518,0.36447,0.16921,0.02642,0.87254,1.64432,0.0138097,0.000809709,0.000809709
9,3636.59,0.02449,0.78163,1.57059,0.48913,0.45809,0.40478,0.18803,0.02571,0.8432,1.60912,0.00290238,0.000902384,0.000902384
10,4044.5,0.02373,0.71518,1.53069,0.51004,0.45665,0.41572,0.19465,0.02582,0.81207,1.62548,0.0009109,0.0009109,0.0009109
11,4458.95,0.02304,0.70398,1.49544,0.50801,0.4711,0.4178,0.19628,0.02535,0.80942,1.60746,0.000901,0.000901,0.000901
12,4871.82,0.02236,0.67972,1.47002,0.4909,0.45565,0.40662,0.19041,0.02534,0.82765,1.59982,0.0008911,0.0008911,0.0008911
13,5285.55,0.02272,0.69429,1.50339,0.55743,0.39678,0.41401,0.20054,0.0255,0.82663,1.6126,0.0008812,0.0008812,0.0008812
14,5703.62,0.0224,0.65866,1.47197,0.50197,0.44424,0.41853,0.2054,0.025,0.81511,1.57987,0.0008713,0.0008713,0.0008713
15,6123.9,0.02196,0.61302,1.44241,0.51875,0.43642,0.42088,0.21093,0.02507,0.80556,1.58631,0.0008614,0.0008614,0.0008614
16,6542.93,0.02136,0.59133,1.4211,0.53518,0.42197,0.42001,0.21184,0.02537,0.79679,1.59,0.0008515,0.0008515,0.0008515
17,6960.95,0.02167,0.58252,1.43876,0.50575,0.44075,0.42217,0.2102,0.02513,0.78769,1.56709,0.0008416,0.0008416,0.0008416
18,7380.73,0.02112,0.58077,1.41104,0.51279,0.43064,0.40604,0.20076,0.02543,0.81314,1.59373,0.0008317,0.0008317,0.0008317
19,7798.11,0.02121,0.57052,1.41326,0.51807,0.43497,0.42026,0.20899,0.02531,0.79713,1.57704,0.0008218,0.0008218,0.0008218
20,8218.56,0.02089,0.55456,1.41083,0.54216,0.43786,0.43364,0.21058,0.02543,0.79491,1.58543,0.0008119,0.0008119,0.0008119
21,8644.13,0.0208,0.54803,1.38719,0.50586,0.4305,0.41899,0.20384,0.02563,0.80761,1.60944,0.000802,0.000802,0.000802
22,9068.68,0.02047,0.5368,1.3925,0.51545,0.4422,0.41549,0.20599,0.02547,0.81593,1.62341,0.0007921,0.0007921,0.0007921
23,9492.6,0.02055,0.53023,1.37013,0.56697,0.42341,0.42489,0.21204,0.02555,0.79028,1.62283,0.0007822,0.0007822,0.0007822
24,9920.04,0.02021,0.51651,1.34855,0.52587,0.46965,0.43179,0.21067,0.0255,0.78583,1.61004,0.0007723,0.0007723,0.0007723
25,10347.2,0.0203,0.52187,1.37145,0.54655,0.4711,0.44575,0.21994,0.02561,0.79859,1.60327,0.0007624,0.0007624,0.0007624
26,10776.3,0.02001,0.5142,1.35004,0.58357,0.46387,0.4478,0.22205,0.02549,0.78341,1.60581,0.0007525,0.0007525,0.0007525
27,11207.8,0.01968,0.49528,1.33941,0.58186,0.45954,0.44136,0.21348,0.02584,0.79932,1.61768,0.0007426,0.0007426,0.0007426
28,11635.8,0.01939,0.47434,1.31359,0.52612,0.45376,0.43541,0.21732,0.02572,0.79265,1.61547,0.0007327,0.0007327,0.0007327
